_id,Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating,Combined kWh/100 km,Combined L/100 km
191,2022,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.9,53,1.7,X,6.8,6.6,6.7,626,62,10.0,7.0,25.9,0.0
231,2023,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.9,53,1.7,X,6.8,6.6,6.7,626,62,10.0,7.0,25.9,0.0
272,2024,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.9,53,1.7,X,6.8,6.6,6.7,626,62,9.0,7.0,25.9,0.0
28,2016,Cadillac,ELR (Performance Pkg),Subcompact,174,1.4,4,AV,E,2.9,58,5.0,Z,8.4,7.1,7.8,457,65,10.0,10.0,26.2,
281,2024,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,3.0,45,3.4,X,6.9,7.3,7.1,642,74,9.0,8.0,26.4,0.0
235,2023,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,3.0,51,3.4,X,6.7,7.1,6.9,681,65,10.0,7.0,26.4,0.0
276,2024,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,3.0,51,3.4,X,6.7,7.1,6.9,681,65,9.0,7.0,26.4,0.0
195,2022,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,3.0,51,3.4,X,6.7,7.1,6.9,681,65,10.0,7.0,26.4,0.0
162,2021,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,3.0,45,3.4,X,6.9,7.3,7.1,644,73,10.0,7.0,26.9,0.0
214,2022,Volvo,V60 T8 AWD Recharge Extended Range,Station wagon: Small,107,2.0,4,AS8,E/PG*,3.0,64,5.0,Z,8.0,7.2,7.6,792,58,10.0,7.0,27.2,0.0
289,2024,Volvo,S60 T8 AWD Recharge,Compact,107,2.0,4,AS8,E/PG*,3.0,64,5.0,Z,8.0,7.2,7.6,792,58,10.0,7.0,27.2,0.0
210,2022,Volvo,S60 T8 AWD Recharge Extended Range,Compact,107,2.0,4,AS8,E/PG*,3.0,64,5.0,Z,8.0,7.2,7.6,792,58,10.0,7.0,27.2,0.0
291,2024,Volvo,V60 T8 AWD Recharge,Station wagon: Small,107,2.0,4,AS8,E/PG*,3.0,64,5.0,Z,8.0,7.2,7.6,792,58,10.0,7.0,27.2,0.0
247,2023,Volvo,S60 T8 AWD Recharge,Compact,107,2.0,4,AS8,E/PG*,3.0,64,5.0,Z,8.0,7.2,7.6,792,58,10.0,7.0,27.2,0.0
249,2023,Volvo,V60 T8 AWD Recharge,Station wagon: Small,107,2.0,4,AS8,E/PG*,3.0,64,5.0,Z,8.0,7.2,7.6,792,58,10.0,7.0,27.2,0.0
41,2017,BMW,i8,Subcompact,96,1.5,3,A6,E/PG,3.1,24,2.0,Z,8.4,8.1,8.3,509,123,10.0,6.0,26.9,0.2
13,2015,BMW,i8,Subcompact,96,1.5,3,A6,E/PG,3.1,24,2.0,Z,8.4,8.1,8.3,509,123,,10.0,26.9,0.2
25,2016,BMW,i8,Subcompact,96,1.5,3,A6,E/PG,3.1,24,2.0,Z,8.4,8.1,8.3,509,123,9.0,10.0,26.9,0.2
264,2024,Dodge,Hornet R/T PHEV,Sport utility vehicle: Small,89,1.3,4,A6,E/G*,3.1,53,4.0,X,8.1,8.1,8.1,520,75,9.0,6.0,27.2,0.0
252,2024,Alfa Romeo,Tonale PHEV,Sport utility vehicle: Small,89,1.3,4,A6,E/G*,3.1,53,4.0,X,8.1,8.1,8.1,520,75,9.0,6.0,27.2,0.0
198,2022,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,3.1,45,3.4,X,6.9,7.3,7.0,645,74,10.0,7.0,27.3,0.0
190,2022,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,3.1,50,3.4,X,7.1,7.3,7.2,655,69,10.0,7.0,27.5,0.0
230,2023,Hyundai,Santa Fe Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,3.1,50,3.4,X,7.1,7.3,7.2,655,69,10.0,7.0,27.5,0.0
239,2023,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2.5,4,AV,E/G*,3.1,43,3.2,X,6.9,7.4,7.1,639,76,10.0,8.0,27.5,0.0
142,2021,BMW,330e,Compact,83,2.0,4,AS8,E/PG*,3.1,37,3.0,Z,9.4,7.2,8.4,486,100,10.0,3.0,27.8,0.0
181,2022,BMW,330e Sedan,Compact,83,2.0,4,AS8,E/PG*,3.1,37,3.0,Z,9.4,7.2,8.4,486,100,9.0,7.0,27.8,0.0
104,2019,Volvo,S90 T8 AWD,Mid-size,65,2.0,4,AS8,E/PG*,3.2,34,3.0,Z,8.9,7.1,8.1,753,100,10.0,7.0,27.7,0.0
99,2019,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,60,2.0,4,A1,E/G*,3.2,35,3.5,X,9.4,9.0,9.2,463,108,10.0,7.0,27.7,0.0
