Year,Make,Model,Vehicle class,Motor (kW),Engine Capacity (cm3),Fuel type 1,Combined (E) (Le/100 km),Combined (E) (kWh/100 km),Combined (E) (L/100 km),Range 1 (km),Recharge time (h),Fuel type 2,City (F) (L/100 km),Highway (F) (L/100 km),Combined (F) (L/100 km),Range 2 (km),Price (euros)
2021,Honda,Clarity Plug-in Hybrid,Mid-size,135,1500.0,E/G*,2.1,19.0,0.0,77,2.5,G,5.3,5.9,5.6,475,0
2021,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,105,2000.0,E/PG,3.5,28.7,0.2,39,2.4,PG,8.9,7.0,8.1,668,0
2021,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1600.0,E/G*,2.2,19.7,0.0,42,2.25,G,4.9,5.3,5.1,853,0
2021,Karma,"GS-6 (21"" Wheels)",Subcompact,400,1500.0,E,3.4,29.9,,98,6.25,PG,8.8,9.5,9.1,428,0
2022,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2500.0,E/G*,2.2,20.2,0.0,60,3.3,G,5.5,6.2,5.8,784,0
2022,Jeep,Wrangler 4xe,Sport utility vehicle: Small,100,2000.0,E/G*,4.8,42.2,0.0,35,2.4,G,11.6,11.9,11.7,557,0
2022,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,99,3000.0,E/PG*,5.1,44.9,0.0,27,3.0,PG,11.8,10.6,11.3,666,0
2022,Porsche,Panamera 4S E-Hybrid,Full-size,70,2900.0,E/PG*,4.7,40.9,0.0,31,3.0,PG,11.4,10.1,10.8,742,0
2022,Kia,Niro Plug-in Hybrid,Station wagon: Small,45,1600.0,E/G*,2.2,19.7,0.0,42,2.25,G,4.9,5.3,5.1,853,0
2022,Bentley,Flying Spur Hybrid,Mid-size,103,2900.0,E/PG*,5.1,45.9,0.0,34,3.0,PG,13.7,10.7,12.3,653,0
