_id,Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating,Smog rating,Recharge time (h)
6122,2020,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,30.9,29.6,30.3,3.5,3.3,3.4,327,0,10,10,10.5
6123,2020,Porsche,Taycan Turbo,Compact,460,A2,B,30.9,29.5,30.2,3.5,3.3,3.4,323,0,10,10,10
6124,2020,Porsche,Taycan Turbo S,Compact,460,A2,B,31.3,30.7,31.0,3.5,3.4,3.5,309,0,10,10,10.5
6125,2020,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14.8,16.5,15.6,1.7,1.9,1.7,151,0,10,10,3.7
6126,2020,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14.1,15.9,14.9,1.6,1.8,1.7,402,0,10,10,8.5
6127,2020,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16.4,17.9,17.1,1.8,2.0,1.9,425,0,10,10,10
6128,2020,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15.3,17.0,16.1,1.7,1.9,1.8,531,0,10,10,10
6129,2020,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,16.9,18.0,17.4,1.9,2.0,2.0,518,0,10,10,10
6130,2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Mid-size,358,A1,B,16.9,18.0,17.4,1.9,2.0,2.0,518,0,10,10,10
6131,2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Mid-size,358,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,489,0,10,10,10
6132,2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Mid-size,358,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,481,0,10,10,10
6133,2020,Tesla,Model S Standard Range,Full-size,398,A1,B,18.5,20.0,19.2,2.1,2.2,2.2,462,0,10,10,9
6134,2020,Tesla,Model S Long Range,Full-size,398,A1,B,18.2,19.5,18.8,2.0,2.2,2.1,600,0,10,10,12
6135,2020,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,398,A1,B,17.2,18.9,18.0,1.9,2.1,2.0,629,0,10,10,12
6136,2020,Tesla,Model S Long Range Plus,Full-size,398,A1,B,17.3,18.8,17.9,1.9,2.1,2.0,647,0,10,10,12
6137,2020,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,20.1,20.2,20.2,2.3,2.3,2.3,560,0,10,10,12
6138,2020,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,21.9,21.6,2.4,2.5,2.4,525,0,10,10,12
6139,2020,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20.0,21.5,20.7,2.2,2.4,2.3,415,0,10,10,9
6140,2020,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21.2,22.5,21.8,2.4,2.5,2.4,528,0,10,10,12
6141,2020,Tesla,Model X Long Range Plus,Sport utility vehicle: Standard,398,A1,B,19.3,20.8,20.0,2.2,2.3,2.2,565,0,10,10,12
6142,2020,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,580,A1,B,23.2,23.5,23.3,2.6,2.6,2.6,491,0,10,10,12
6143,2020,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,580,A1,B,26.2,27.1,26.6,2.9,3.0,3.0,438,0,10,10,12
6144,2020,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,358,A1,B,16.5,18.3,17.3,1.9,2.1,1.9,509,0,10,10,10
6145,2020,Tesla,Model Y Performance,Sport utility vehicle: Small,358,A1,B,16.3,18.7,17.4,1.8,2.1,2.0,507,0,10,10,10
6146,2020,Tesla,"Model Y Performance (21"" Wheels)",Sport utility vehicle: Small,358,A1,B,18.1,19.8,18.9,2.0,2.2,2.1,468,0,10,10,10
6147,2020,Volkswagen,e-Golf,Compact,100,A1,B,17.4,19.9,18.6,1.9,2.3,2.1,198,0,10,10,5.3
6148,2021,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,26.9,27.0,27.0,3.0,3.0,3.0,357,0,10,10,10
6149,2021,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27.6,27.0,27.3,3.1,3.0,3.1,351,0,10,10,10
6150,2021,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7
6151,2021,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7
6152,2021,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.5,19.5,17.8,1.9,2.2,2.0,417,0,10,10,10
6153,2021,Ford,Mustang Mach-E Standard Range,Station wagon: Small,198,A1,B,19.9,22.4,21.0,2.2,2.5,2.4,370,0,10,10,8.8
6154,2021,Ford,Mustang Mach-E Standard Range AWD,Station wagon: Small,198,A1,B,21.0,24.5,22.6,2.4,2.7,2.5,340,0,10,10,8.5
6155,2021,Ford,"Mustang Mach-E Extended Range (19"" Wheels)",Station wagon: Small,216,A1,B,20.2,23.2,21.5,2.3,2.6,2.4,483,0,10,10,10.9
6156,2021,Ford,Mustang Mach-E Extended Range AWD,Station wagon: Small,258,A1,B,21.8,25.0,23.2,2.4,2.8,2.6,435,0,10,10,10.7
